glyph	category	kind	latex	description
α	Greek	Symbol	\alpha	Greek Alphabet (Lowercase/Uppercase)
β	Greek	Symbol	\beta	Greek Alphabet (Lowercase/Uppercase)
γ	Greek	Symbol	\gamma	Greek Alphabet (Lowercase/Uppercase)
δ	Greek	Symbol	\delta	Greek Alphabet (Lowercase/Uppercase)
ϵ	Greek	Symbol	\epsilon	Greek Alphabet (Lowercase/Uppercase)
ζ	Greek	Symbol	\zeta	Greek Alphabet (Lowercase/Uppercase)
η	Greek	Symbol	\eta	Greek Alphabet (Lowercase/Uppercase)
θ	Greek	Symbol	\theta	Greek Alphabet (Lowercase/Uppercase)
ι	Greek	Symbol	\iota	Greek Alphabet (Lowercase/Uppercase)
κ	Greek	Symbol	\kappa	Greek Alphabet (Lowercase/Uppercase)
λ	Greek	Symbol	\lambda	Greek Alphabet (Lowercase/Uppercase)
μ	Greek	Symbol	\mu	Greek Alphabet (Lowercase/Uppercase)
ν	Greek	Symbol	\nu	Greek Alphabet (Lowercase/Uppercase)
ξ	Greek	Symbol	\xi	Greek Alphabet (Lowercase/Uppercase)
ο	Greek	Symbol	\omicron	Greek Alphabet (Lowercase/Uppercase)
π	Greek	Symbol	\pi	Greek Alphabet (Lowercase/Uppercase)
ρ	Greek	Symbol	\rho	Greek Alphabet (Lowercase/Uppercase)
σ	Greek	Symbol	\sigma	Greek Alphabet (Lowercase/Uppercase)
τ	Greek	Symbol	\tau	Greek Alphabet (Lowercase/Uppercase)
υ	Greek	Symbol	\upsilon	Greek Alphabet (Lowercase/Uppercase)
ϕ	Greek	Symbol	\phi	Greek Alphabet (Lowercase/Uppercase)
χ	Greek	Symbol	\chi	Greek Alphabet (Lowercase/Uppercase)
ψ	Greek	Symbol	\psi	Greek Alphabet (Lowercase/Uppercase)
ω	Greek	Symbol	\omega	Greek Alphabet (Lowercase/Uppercase)
Γ	Greek	Symbol	\Gamma	Greek capital Gamma
Δ	Greek	Symbol	\Delta	Greek capital Delta
Θ	Greek	Symbol	\Theta	Greek capital Theta
Λ	Greek	Symbol	\Lambda	Greek capital Lambda
Ξ	Greek	Symbol	\Xi	Greek capital Xi
Π	Greek	Symbol	\Pi	Greek capital Pi
Σ	Greek	Symbol	\Sigma	Greek capital Sigma
Υ	Greek	Symbol	\Upsilon	Greek capital Upsilon
Φ	Greek	Symbol	\Phi	Greek capital Phi
Ψ	Greek	Symbol	\Psi	Greek capital Psi
Ω	Greek	Symbol	\Omega	Greek capital Omega
ε	Greek	Symbol	\varepsilon	Greek variant epsilon
ϑ	Greek	Symbol	\vartheta	Greek variant theta
ϖ	Greek	Symbol	\varpi	Greek variant pi
ϱ	Greek	Symbol	\varrho	Greek variant rho
ς	Greek	Symbol	\varsigma	Greek variant sigma
φ	Greek	Symbol	\varphi	Greek variant phi
ϰ	Greek	Symbol	\varkappa	Greek variant kappa
×	General	Symbol	\times	Operations
÷	General	Symbol	\div	Operations
⋅	General	Symbol	\cdot	Operations
